id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO526124227,MCO,Biblia De Estudio En Acción Lenguaje Actual Tla - Ilustrada,72900,,COP,1,100,buy_it_now,gold_special,2039-07-20T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-526124227-biblia-de-estudio-en-accion-lenguaje-actual-tla-ilustrada-_JM,http://http2.mlstatic.com/D_917750-MCO31558170622_072019-I.jpg,917750-MCO31558170622_072019,True,81000,MCO1196,,MCO-BOOKS,,50,True,,,,,,151270881,,,False,False,,MCO526124227,"[{'id': '3', 'type': 'standard', 'amount': 78000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-16T03:44:27Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '13', 'type': 'standard', 'amount': 70000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-16T03:44:27Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '75', 'type': 'promotion', 'amount': 72900, 'regular_amount': 81000, 'currency_id': 'COP', 'last_updated': '2021-12-19T02:40:44Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,2025.0,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,True,me2,"['fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Antioquia,Medellín,,,4,Nuevo,5,0,1,1
MCO600570895,MCO,Super Combo Libros Cartillas Cheito Pre-jardin X 4 Unidades,26590,,COP,1,25,buy_it_now,gold_pro,2041-01-01T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-600570895-super-combo-libros-cartillas-cheito-pre-jardin-x-4-unidades-_JM,http://http2.mlstatic.com/D_889345-MLA46544446887_062021-I.jpg,889345-MLA46544446887_062021,True,27990,MCO1196,,MCO-BOOKS,,49,True,,,,,,549800451,,,False,False,,MCO600570895,"[{'id': '2', 'type': 'standard', 'amount': 27990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-04-24T00:48:52Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '3', 'type': 'promotion', 'amount': 26590, 'regular_amount': 27990, 'currency_id': 'COP', 'last_updated': '2022-01-24T07:01:45Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,2215.83,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Suba,,,4,Nuevo,4,0,1,1
MCO597032190,MCO,Atlas Aviones Pasado Y Presente,109155,,COP,1,5,buy_it_now,gold_pro,2040-11-28T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-597032190-atlas-aviones-pasado-y-presente-_JM,http://http2.mlstatic.com/D_729559-MCO44242561523_122020-I.jpg,729559-MCO44242561523_122020,True,114900,MCO1196,,MCO-BOOKS,,48,True,,,,,,206711045,,,False,False,,MCO597032190,"[{'id': '967b73d2-d093-4733-97cd-f8f029376a62', 'type': 'standard', 'amount': 114900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-12-03T22:55:10Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '13', 'type': 'promotion', 'amount': 109155, 'regular_amount': 114900, 'currency_id': 'COP', 'last_updated': '2022-01-24T05:07:09Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,9096.25,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,1,Nuevo,4,0,1,1
MCO638578987,MCO,Biblia Bilingue Ntv - Nlt Tapa Dura,117990,,COP,1,5,buy_it_now,gold_pro,2041-06-17T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-638578987-biblia-bilingue-ntv-nlt-tapa-dura-_JM,http://http2.mlstatic.com/D_896300-MCO46483421747_062021-I.jpg,896300-MCO46483421747_062021,True,124200,MCO1196,,MCO-BOOKS,,47,True,,,,,,151270881,,,False,False,,MCO638578987,"[{'id': '1', 'type': 'standard', 'amount': 118000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-06-22T21:55:59Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '64', 'type': 'promotion', 'amount': 117990, 'regular_amount': 124200, 'currency_id': 'COP', 'last_updated': '2021-12-19T02:40:45Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,9832.5,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,True,me2,['mandatory_free_shipping'],xd_drop_off,False,,,,,Colombia,Antioquia,Medellín,,,4,Nuevo,4,0,1,1
MCO527715926,MCO,Reinventarse: Tu Segunda Oportunidad ( Edición Actualizada ),46550,,COP,1,50,buy_it_now,gold_pro,2041-03-25T16:15:25.000Z,new,https://articulo.mercadolibre.com.co/MCO-527715926-reinventarse-tu-segunda-oportunidad-edicion-actualizada--_JM,http://http2.mlstatic.com/D_837430-MCO41952308524_052020-I.jpg,837430-MCO41952308524_052020,True,49000,MCO1196,,MCO-BOOKS,,46,True,,,,,,438128163,,,False,False,,MCO527715926,"[{'id': '3', 'type': 'standard', 'amount': 49000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-05-04T02:39:45Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '7', 'type': 'promotion', 'amount': 46550, 'regular_amount': 49000, 'currency_id': 'COP', 'last_updated': '2022-02-07T18:35:45Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,3879.17,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,1,Nuevo,4,0,1,0
MCO583241968,MCO,Biblia Bilingue Nlt - Ntv Tapa Dura,117990,,COP,1,5,buy_it_now,gold_special,2040-11-25T05:02:59.000Z,new,https://articulo.mercadolibre.com.co/MCO-583241968-biblia-bilingue-nlt-ntv-tapa-dura-_JM,http://http2.mlstatic.com/D_660342-MCO43497936623_092020-I.jpg,660342-MCO43497936623_092020,True,124200,MCO1196,,MCO-BOOKS,,45,True,,,,,,151270881,,,False,False,,MCO583241968,"[{'id': '1', 'type': 'standard', 'amount': 118000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-02-24T02:53:05Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '64', 'type': 'promotion', 'amount': 117990, 'regular_amount': 124200, 'currency_id': 'COP', 'last_updated': '2021-12-19T02:40:44Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,3277.5,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,True,me2,['mandatory_free_shipping'],xd_drop_off,False,,,,,Colombia,Antioquia,Medellín,,,4,Nuevo,4,0,1,1
MCO573064509,MCO,La Peste - Albert Camus - Nuevo - Original - Sellado,23655,,COP,1,25,buy_it_now,gold_pro,2040-07-21T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-573064509-la-peste-albert-camus-nuevo-original-sellado-_JM,http://http2.mlstatic.com/D_991016-MCO43452412318_092020-I.jpg,991016-MCO43452412318_092020,True,24900,MCO1196,,MCO-BOOKS,,44,True,,,,,,241579736,,,False,False,,MCO573064509,"[{'id': '9', 'type': 'standard', 'amount': 24900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-01T13:16:15Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '11', 'type': 'promotion', 'amount': 23655, 'regular_amount': 24900, 'currency_id': 'COP', 'last_updated': '2022-02-08T15:16:54Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,1971.25,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Suba,,,3,Nuevo,5,0,1,1
MCO647199187,MCO,Kit Penitencia Por Amor Extraordinaria Y Un Camino Para Sana,56525,,COP,1,5,buy_it_now,gold_special,2041-07-11T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-647199187-kit-penitencia-por-amor-extraordinaria-y-un-camino-para-sana-_JM,http://http2.mlstatic.com/D_874983-MCO46764163995_072021-I.jpg,874983-MCO46764163995_072021,True,59500,MCO1196,,MCO-BOOKS,,43,True,,,,,,549030726,,,False,False,,MCO647199187,"[{'id': '13', 'type': 'standard', 'amount': 59500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-21T14:02:41Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '16', 'type': 'promotion', 'amount': 53550, 'regular_amount': 59500, 'currency_id': 'COP', 'last_updated': '2022-02-09T17:25:23Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': '2022-01-12T22:46:21Z', 'end_time': '2022-03-01T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': 'TR-549030726-202201121846414641:MCO647199187', 'promotion_type': 'custom'}}, {'id': '17', 'type': 'promotion', 'amount': 56525, 'regular_amount': 59500, 'currency_id': 'COP', 'last_updated': '2022-02-09T17:25:23Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,1570.14,0,COP,CO-VAC,Valle Del Cauca,TUNPQ0NBTDYyZDA0,Cali,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Valle Del Cauca,Cali,,,4,Nuevo,6,0,1,1
MCO502758874,MCO,Opio En Las Nubes - Rafael Chaparro Madiedo - Libro Sellado,23655,,COP,1,100,buy_it_now,gold_pro,2040-07-17T01:00:50.000Z,new,https://articulo.mercadolibre.com.co/MCO-502758874-opio-en-las-nubes-rafael-chaparro-madiedo-libro-sellado-_JM,http://http2.mlstatic.com/D_647075-MCO47459787736_092021-I.jpg,647075-MCO47459787736_092021,True,24900,MCO1196,,MCO-BOOKS,,42,True,,,,,,241579736,,,False,False,,MCO502758874,"[{'id': '34', 'type': 'standard', 'amount': 24900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-01T13:16:15Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '36', 'type': 'promotion', 'amount': 23655, 'regular_amount': 24900, 'currency_id': 'COP', 'last_updated': '2022-02-07T13:11:20Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,1971.25,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,4,Nuevo,4,0,0,1
MCO828561879,MCO,La Sociedad Del Cansancio,19800,,COP,1,5,buy_it_now,gold_special,2041-10-30T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-828561879-la-sociedad-del-cansancio-_JM,http://http2.mlstatic.com/D_818604-MCO48122515183_112021-I.jpg,818604-MCO48122515183_112021,True,22000,MCO1196,,MCO-BOOKS,,41,True,,,,,,814704910,,,False,False,,MCO828561879,"[{'id': '1', 'type': 'standard', 'amount': 22000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-04T17:45:40Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '2', 'type': 'promotion', 'amount': 19800, 'regular_amount': 22000, 'currency_id': 'COP', 'last_updated': '2022-01-24T17:14:54Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,550.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],drop_off,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,2,Nuevo,4,0,1,1
